City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
albany,US,42.6526,-73.7562,13.33,40,0,0.89,2021-03-10 19:00:11
qaanaaq,GL,77.484,-69.3632,-14.17,81,0,2.79,2021-03-10 19:00:12
busselton,AU,-33.65,115.3333,21.67,93,100,0.89,2021-03-10 19:00:12
sandata,RU,46.2708,41.7583,-2.32,83,100,3.77,2021-03-10 19:00:12
lovozero,RU,68.005,35.0117,-15.97,81,1,2.12,2021-03-10 19:00:13
narsaq,GL,60.9167,-46.05,-3.0,63,75,1.03,2021-03-10 19:00:14
ayagoz,KZ,47.9714,80.4392,1.79,86,100,6.28,2021-03-10 19:00:14
kapaa,US,22.0752,-159.319,23.0,94,90,4.63,2021-03-10 18:59:45
yellowknife,CA,62.456,-114.3525,-20.0,65,1,5.14,2021-03-10 19:00:05
zaysan,KZ,47.4667,84.8667,-1.48,84,99,0.54,2021-03-10 19:00:15
neuquen,AR,-38.9516,-68.0591,34.0,11,0,8.75,2021-03-10 19:00:15
buraydah,SA,26.326,43.975,23.0,31,0,6.69,2021-03-10 19:00:16
ponta do sol,PT,32.6667,-17.1,16.11,67,40,6.17,2021-03-10 19:00:17
bredasdorp,ZA,-34.5322,20.0403,18.0,100,100,1.54,2021-03-10 19:00:17
daru,PG,-9.0763,143.2092,25.74,86,100,2.4,2021-03-10 19:00:18
ribeira grande,PT,38.5167,-28.7,16.0,100,75,7.2,2021-03-10 19:00:18
thompson,CA,55.7435,-97.8558,-5.0,50,75,5.14,2021-03-10 19:00:19
las vegas,US,36.175,-115.1372,12.0,32,20,3.6,2021-03-10 19:00:06
ushuaia,AR,-54.8,-68.3,8.0,71,20,10.8,2021-03-10 19:00:19
barrow,US,71.2906,-156.7887,-15.0,72,90,8.75,2021-03-10 19:00:04
bhawana,PK,31.5692,72.649,21.65,26,100,4.72,2021-03-10 19:00:20
port-gentil,GA,-0.7193,8.7815,27.0,83,20,4.27,2021-03-10 19:00:20
chuy,UY,-33.6971,-53.4616,23.41,64,4,4.0,2021-03-10 19:00:21
avarua,CK,-21.2078,-159.775,27.0,83,40,2.57,2021-03-10 19:00:22
cherskiy,RU,68.75,161.3,-26.41,78,0,7.14,2021-03-10 19:00:22
luderitz,NA,-26.6481,15.1594,20.51,76,0,6.25,2021-03-10 19:00:23
coquimbo,CL,-29.9533,-71.3436,22.0,64,40,5.66,2021-03-10 19:00:23
dicabisagan,PH,17.0818,122.4157,23.37,85,73,2.57,2021-03-10 19:00:24
upernavik,GL,72.7868,-56.1549,-13.24,83,30,0.79,2021-03-10 19:00:24
puerto ayora,EC,-0.7393,-90.3518,28.89,84,34,2.24,2021-03-10 19:00:25
amahai,ID,-3.3333,128.9167,25.61,80,95,1.9,2021-03-10 19:00:25
atuona,PF,-9.8,-139.0333,26.6,73,65,7.56,2021-03-10 19:00:26
tacarigua,VE,10.0862,-67.9198,30.0,42,100,3.09,2021-03-10 19:00:26
rikitea,PF,-23.1203,-134.9692,26.41,72,75,8.08,2021-03-10 19:00:27
maldonado,UY,-34.9,-54.95,25.56,57,20,7.2,2021-03-10 19:00:28
brcko,BA,44.8728,18.8083,6.11,86,40,0.51,2021-03-10 19:00:28
bafata,GW,12.1667,-14.6667,34.08,13,0,1.9,2021-03-10 19:00:29
mackenzie,CA,55.2999,-123.1698,-8.0,45,1,2.57,2021-03-10 19:00:29
new norfolk,AU,-42.7826,147.0587,10.56,70,0,1.1,2021-03-10 19:00:30
chokurdakh,RU,70.6333,147.9167,-19.87,92,100,5.37,2021-03-10 19:00:30
sao joao da barra,BR,-21.6403,-41.0511,30.0,58,75,6.17,2021-03-10 19:00:31
wasilla,US,61.5814,-149.4394,1.0,60,90,3.09,2021-03-10 19:00:31
nanortalik,GL,60.1432,-45.2371,-2.11,92,83,6.81,2021-03-10 19:00:32
gobo,JP,33.8833,135.15,5.0,65,20,1.54,2021-03-10 19:00:32
jacqueville,CI,5.2052,-4.4146,28.0,89,20,4.63,2021-03-10 19:00:33
saint-philippe,RE,-21.3585,55.7679,26.0,78,0,3.6,2021-03-10 19:00:33
los llanos de aridane,ES,28.6585,-17.9182,18.0,63,40,7.72,2021-03-10 19:00:34
taoudenni,ML,22.6783,-3.9836,24.78,18,0,5.04,2021-03-10 19:00:35
margate,GB,51.3813,1.3862,10.56,83,100,3.58,2021-03-10 19:00:35
zhigansk,RU,66.7697,123.3711,-23.78,90,100,2.4,2021-03-10 19:00:36
bethel,US,41.3712,-73.414,13.0,35,1,4.63,2021-03-10 19:00:36
veraval,IN,20.9,70.3667,23.05,83,0,4.93,2021-03-10 19:00:37
cayenne,GF,4.9333,-52.3333,30.0,66,75,6.69,2021-03-10 19:00:06
sao filipe,CV,14.8961,-24.4956,21.54,75,95,5.13,2021-03-10 19:00:37
elizabeth city,US,36.2946,-76.2511,22.78,30,1,4.12,2021-03-10 19:00:38
tongren,CN,27.7172,109.1853,9.04,87,100,0.53,2021-03-10 19:00:38
jaguarao,BR,-32.5661,-53.3758,25.26,53,15,3.61,2021-03-10 19:00:39
georgetown,GY,6.8045,-58.1553,31.0,74,75,5.14,2021-03-10 19:00:39
narrabri,AU,-30.3167,149.7833,20.0,77,40,2.57,2021-03-10 19:00:40
nalut,LY,31.8685,10.9812,10.67,82,75,11.34,2021-03-10 19:00:40
aksarayskiy,RU,46.7924,48.0119,-5.0,63,0,4.0,2021-03-10 19:00:41
hilo,US,19.7297,-155.09,22.0,83,90,2.06,2021-03-10 19:00:08
vaini,TO,-21.2,-175.2,23.0,83,20,2.57,2021-03-10 19:00:41
haines junction,CA,60.7522,-137.5108,-18.0,71,100,1.03,2021-03-10 19:00:42
bilibino,RU,68.0546,166.4372,-32.54,79,0,1.11,2021-03-10 19:00:42
khatanga,RU,71.9667,102.5,-28.31,85,100,10.62,2021-03-10 19:00:43
tiksi,RU,71.6872,128.8694,-30.29,84,89,7.41,2021-03-10 19:00:44
punta arenas,CL,-53.15,-70.9167,9.0,57,40,13.89,2021-03-10 19:00:44
kavieng,PG,-2.5744,150.7967,27.57,72,92,3.08,2021-03-10 19:00:45
butaritari,KI,3.0707,172.7902,27.19,78,89,5.48,2021-03-10 19:00:45
zyryanka,RU,65.75,150.85,-24.22,82,27,4.56,2021-03-10 19:00:46
cape town,ZA,-33.9258,18.4232,20.56,94,75,8.75,2021-03-10 18:58:37
codrington,AU,-38.2667,141.9667,10.79,92,100,2.82,2021-03-10 19:00:46
dingle,PH,10.9995,122.6711,23.4,89,35,3.78,2021-03-10 19:00:47
catuday,PH,16.2923,119.8062,24.16,73,100,4.4,2021-03-10 19:00:48
port pirie,AU,-33.1833,138.0167,15.0,100,0,2.06,2021-03-10 19:00:48
hobart,AU,-42.8794,147.3294,12.0,76,0,1.03,2021-03-10 19:00:41
port elizabeth,ZA,-33.918,25.5701,21.0,83,20,8.75,2021-03-10 19:00:49
sernur,RU,56.9333,49.1536,-22.94,91,0,3.85,2021-03-10 19:00:49
masterton,NZ,-40.9597,175.6575,15.0,93,100,0.89,2021-03-10 19:00:50
lorengau,PG,-2.0226,147.2712,27.12,79,100,3.03,2021-03-10 19:00:50
nhulunbuy,AU,-12.2333,136.7667,25.0,94,45,2.97,2021-03-10 19:00:51
jacobina,BR,-11.1806,-40.5183,33.58,29,20,3.77,2021-03-10 19:00:51
bluff,NZ,-46.6,168.3333,6.11,95,0,1.44,2021-03-10 19:00:52
viedma,AR,-40.8135,-62.9967,34.69,18,80,8.84,2021-03-10 19:00:52
tasiilaq,GL,65.6145,-37.6368,-10.0,92,20,1.54,2021-03-10 19:00:53
murupara,NZ,-38.4667,176.7,17.22,98,100,0.81,2021-03-10 19:00:53
borba,BR,-4.3878,-59.5939,25.22,94,98,1.59,2021-03-10 19:00:54
ust-kuyga,RU,70.0167,135.6,-20.56,90,100,1.05,2021-03-10 19:00:54
grindavik,IS,63.8424,-22.4338,-2.0,74,90,15.95,2021-03-10 19:00:55
saskylakh,RU,71.9167,114.0833,-28.91,82,80,8.75,2021-03-10 19:00:55
port alfred,ZA,-33.5906,26.891,21.67,85,56,0.89,2021-03-10 19:00:56
guerrero negro,MX,27.9769,-114.0611,17.01,49,100,9.85,2021-03-10 19:00:56
jamestown,US,42.097,-79.2353,12.78,58,1,6.65,2021-03-10 19:00:56
kieta,PG,-6.2167,155.6333,25.91,71,78,1.23,2021-03-10 19:00:57
nabire,ID,-3.3667,135.4833,23.18,85,100,1.46,2021-03-10 19:00:57
touros,BR,-5.1989,-35.4608,31.0,58,20,7.2,2021-03-10 19:00:58
mehamn,NO,71.0357,27.8492,-8.0,57,0,5.66,2021-03-10 19:00:58
roma,IT,41.8947,12.4839,12.22,40,0,5.66,2021-03-10 19:00:14
port hedland,AU,-20.3167,118.5667,27.0,94,2,2.57,2021-03-10 19:00:59
fortuna,US,40.5982,-124.1573,12.22,66,20,1.4,2021-03-10 19:01:00
wakkanai,JP,45.4094,141.6739,0.25,87,0,6.75,2021-03-10 19:01:00
tuktoyaktuk,CA,69.4541,-133.0374,-14.0,85,90,1.54,2021-03-10 19:01:01
nikolayevka,RU,53.1257,47.2041,-20.68,89,78,4.44,2021-03-10 19:01:01
palmer,US,42.1584,-72.3287,12.78,36,0,1.79,2021-03-10 19:01:02
wattegama,LK,6.7989,81.4808,23.0,100,90,2.06,2021-03-10 19:01:02
trinidad,CU,21.8019,-79.9842,29.0,45,40,6.69,2021-03-10 19:01:03
vao,NC,-22.6667,167.4833,24.25,76,50,4.31,2021-03-10 19:01:03
shujaabad,PK,29.8797,71.2931,25.0,61,0,1.68,2021-03-10 19:01:04
makhu,IN,31.1033,74.9978,18.69,29,0,2.07,2021-03-10 19:01:04
kijang,KR,35.2442,129.2139,3.0,75,0,1.03,2021-03-10 19:01:05
tyup,KG,42.7276,78.3648,2.97,74,87,1.66,2021-03-10 19:01:05
meulaboh,ID,4.1363,96.1285,25.08,83,0,1.62,2021-03-10 19:01:05
temir,KZ,49.1414,57.13,-15.13,94,99,5.82,2021-03-10 19:01:06
hovd,MN,48.0056,91.6419,-2.92,82,0,1.43,2021-03-10 19:01:06
briancon,FR,44.9,6.65,6.11,43,38,1.4,2021-03-10 19:01:07
saint george,US,37.1041,-113.5841,12.78,24,1,3.6,2021-03-10 18:58:42
christchurch,NZ,-43.5333,172.6333,11.67,93,75,1.54,2021-03-10 19:00:00
longyearbyen,SJ,78.2186,15.6401,-4.0,86,75,3.6,2021-03-10 19:01:07
mae hong son,TH,19.3003,97.9685,20.58,26,0,0.66,2021-03-10 19:01:07
benghazi,LY,32.1167,20.0667,16.44,72,100,6.4,2021-03-10 19:01:08
flinders,AU,-34.5833,150.8552,19.44,92,100,0.45,2021-03-10 19:01:08
tondano,ID,1.3038,124.9112,25.0,94,20,0.51,2021-03-10 19:01:09
birjand,IR,32.8663,59.2211,13.0,22,20,2.06,2021-03-10 19:01:09
deputatskiy,RU,69.3,139.9,-21.44,91,100,2.84,2021-03-10 19:01:10
banda aceh,ID,5.5577,95.3222,25.99,65,0,3.25,2021-03-10 19:01:10
richards bay,ZA,-28.783,32.0377,23.96,94,0,1.61,2021-03-10 18:58:21
aklavik,CA,68.2191,-135.0107,-16.0,85,75,1.54,2021-03-10 19:01:11
vila franca do campo,PT,37.7167,-25.4333,16.0,88,20,6.69,2021-03-10 19:01:11
lismore,AU,-28.8135,153.2773,20.0,94,90,2.57,2021-03-10 19:01:11
kodiak,US,57.79,-152.4072,1.0,80,90,4.63,2021-03-10 19:01:11
beni,CD,0.5,29.4667,21.93,63,0,2.31,2021-03-10 19:01:12
kilindoni,TZ,-7.9139,39.6668,27.53,80,62,5.48,2021-03-10 19:01:12
buala,SB,-8.145,159.5921,26.27,80,100,2.51,2021-03-10 19:01:12
leningradskiy,RU,69.3833,178.4167,-30.09,74,0,2.83,2021-03-10 19:01:13
sioux lookout,CA,50.1001,-91.917,-4.0,63,75,1.54,2021-03-10 19:01:13
pemangkat,ID,1.1667,108.9667,25.03,88,69,2.65,2021-03-10 19:01:13
parabel,RU,58.6978,81.4825,-7.74,97,100,4.63,2021-03-10 19:01:14
cabo san lucas,MX,22.8909,-109.9124,28.0,44,20,3.6,2021-03-10 19:01:14
soyaux,FR,45.65,0.2,11.11,50,100,3.09,2021-03-10 19:01:14
faanui,PF,-16.4833,-151.75,27.47,69,100,5.82,2021-03-10 19:01:15
hobyo,SO,5.3505,48.5268,26.06,81,54,6.17,2021-03-10 19:01:15
songjianghe,CN,42.1859,127.479,0.33,90,97,3.12,2021-03-10 19:01:15
vardo,NO,70.3705,31.1107,-11.0,79,95,16.46,2021-03-10 19:01:16
kavaratti,IN,10.5669,72.642,28.56,73,76,4.94,2021-03-10 19:01:16
bathsheba,BB,13.2167,-59.5167,28.0,57,40,9.77,2021-03-10 19:01:16
iralaya,HN,15.0,-83.2333,25.0,94,75,3.6,2021-03-10 19:01:16
lososina,RU,48.9975,140.3106,-6.9,91,100,2.22,2021-03-10 19:01:17
sitka,US,57.0531,-135.33,3.0,70,90,3.09,2021-03-10 18:59:39
ancud,CL,-41.8697,-73.8203,16.67,54,75,9.26,2021-03-10 19:01:17
piacabucu,BR,-10.4056,-36.4344,28.75,67,27,6.82,2021-03-10 19:01:17
hofn,IS,64.2539,-15.2082,3.0,60,40,6.17,2021-03-10 19:01:18
liverpool,GB,53.4106,-2.9779,13.0,76,75,8.75,2021-03-10 19:00:53
porto de moz,BR,-1.7483,-52.2383,23.79,90,100,2.16,2021-03-10 19:01:18
sterlibashevo,RU,53.4376,55.2578,-18.06,90,100,6.49,2021-03-10 19:01:20
pevek,RU,69.7008,170.3133,-29.79,79,0,7.8,2021-03-10 19:01:20
kirakira,SB,-10.4544,161.9205,26.25,82,100,2.67,2021-03-10 19:01:20
castro,BR,-24.7911,-50.0119,25.19,52,2,2.11,2021-03-10 19:01:21
dudinka,RU,69.4058,86.1778,-34.61,85,100,4.48,2021-03-10 19:01:21
dikson,RU,73.5069,80.5464,-21.43,91,100,9.74,2021-03-10 19:01:21
hithadhoo,MV,-0.6,73.0833,28.36,70,100,3.68,2021-03-10 19:01:22
necochea,AR,-38.5473,-58.7368,29.44,43,100,8.05,2021-03-10 19:01:22
fairbanks,US,64.8378,-147.7164,-4.44,86,90,1.01,2021-03-10 19:00:00
salalah,OM,17.0151,54.0924,26.0,65,0,0.51,2021-03-10 19:01:22
bajil,YE,15.0584,43.2851,30.07,41,0,1.28,2021-03-10 19:01:23
manggar,ID,-2.8833,108.2667,25.44,84,90,3.26,2021-03-10 19:01:23
hermanus,ZA,-34.4187,19.2345,21.11,82,95,1.79,2021-03-10 19:01:23
ulaangom,MN,49.9811,92.0667,-15.18,93,39,0.35,2021-03-10 19:01:24
tilichiki,RU,60.4667,166.1,-22.67,93,92,2.17,2021-03-10 19:01:24
padre paraiso,BR,-17.0742,-41.4844,25.11,85,99,1.45,2021-03-10 19:01:24
caravelas,BR,-17.7125,-39.2481,28.3,65,20,5.39,2021-03-10 19:01:25
waddan,LY,29.1614,16.139,20.53,35,100,4.37,2021-03-10 19:01:25
la ronge,CA,55.1001,-105.2842,-10.0,73,100,7.2,2021-03-10 19:01:25
rorvik,NO,64.8621,11.2373,0.0,55,0,11.32,2021-03-10 19:01:26
rio verde de mato grosso,BR,-18.9181,-54.8442,30.44,53,30,1.41,2021-03-10 19:01:26
norman wells,CA,65.282,-126.8329,-23.0,70,75,2.57,2021-03-10 19:01:26
cidreira,BR,-30.1811,-50.2056,23.52,72,3,4.49,2021-03-10 19:01:27
gizo,SB,-8.103,156.8419,28.14,69,85,0.79,2021-03-10 19:01:27
humaita,BR,-7.5061,-63.0208,26.54,79,100,2.41,2021-03-10 19:01:27
hay river,CA,60.8156,-115.7999,-17.0,66,89,1.54,2021-03-10 19:00:05
ilulissat,GL,69.2167,-51.1,-6.0,53,75,1.54,2021-03-10 19:01:27
clyde river,CA,70.4692,-68.5914,-24.0,84,1,2.57,2021-03-10 19:01:28
thiruvananthapuram,IN,8.4833,76.9167,28.0,78,40,1.54,2021-03-10 19:01:28
iqaluit,CA,63.7506,-68.5145,-19.0,65,75,1.54,2021-03-10 19:01:28
pangnirtung,CA,66.1451,-65.7125,-19.0,84,90,5.14,2021-03-10 19:01:29
ivangorod,RU,59.3716,28.2162,-12.91,89,0,4.1,2021-03-10 19:01:29
empangeni,ZA,-28.762,31.8933,22.63,96,0,1.25,2021-03-10 19:01:29
otavi,NA,-19.65,17.3333,21.7,55,100,4.28,2021-03-10 19:01:30
russkaya polyana,UA,49.417,31.9201,-3.67,88,99,3.07,2021-03-10 19:01:30
tuatapere,NZ,-46.1333,167.6833,6.11,95,6,1.22,2021-03-10 19:01:30
klaksvik,FO,62.2266,-6.589,4.0,81,40,5.66,2021-03-10 19:01:31
cerete,CO,8.8848,-75.7905,34.37,41,100,1.43,2021-03-10 18:58:42
constitucion,CL,-35.3333,-72.4167,20.32,69,48,3.34,2021-03-10 19:00:56
maniitsoq,GL,65.4167,-52.9,-6.34,95,100,3.44,2021-03-10 19:01:31
dzhebariki-khaya,RU,62.2167,135.8,-14.98,94,100,2.64,2021-03-10 19:01:32
victoria,CA,48.4329,-123.3693,8.33,81,75,2.06,2021-03-10 18:59:18
tigzirt,DZ,36.8886,4.1198,11.3,73,11,0.83,2021-03-10 19:01:32
mahebourg,MU,-20.4081,57.7,27.0,78,40,3.09,2021-03-10 19:01:32
dunedin,NZ,-45.8742,170.5036,9.44,84,1,0.89,2021-03-10 18:57:07
prince rupert,CA,54.3161,-130.3201,4.0,81,1,0.69,2021-03-10 19:01:33
provideniya,RU,64.3833,-173.3,-26.76,82,10,2.51,2021-03-10 19:01:33
sorland,NO,67.667,12.6934,0.0,59,20,12.35,2021-03-10 19:01:33
ahipara,NZ,-35.1667,173.1667,18.48,91,8,2.69,2021-03-10 19:01:34
hurricane,US,37.1753,-113.2899,12.22,24,1,5.66,2021-03-10 19:01:34
alice town,BS,25.7167,-79.3,21.83,73,82,11.05,2021-03-10 19:01:34
finnsnes,NO,69.2296,17.9811,-18.0,92,0,3.29,2021-03-10 19:01:35
cocorit,MX,27.5833,-109.9667,21.0,37,75,2.57,2021-03-10 19:01:35
saldanha,ZA,-33.0117,17.9442,20.0,88,92,3.09,2021-03-10 19:01:35
esperance,AU,-33.8667,121.9,19.0,82,100,2.57,2021-03-10 19:01:36
kramat,ID,-8.1311,113.4499,23.57,85,100,0.9,2021-03-10 19:01:36
roxas,PH,17.1189,121.6201,22.44,79,99,1.19,2021-03-10 19:01:36
vestmannaeyjar,IS,63.4427,-20.2734,1.0,69,40,11.83,2021-03-10 19:01:37
souillac,MU,-20.5167,57.5167,27.0,78,40,3.09,2021-03-10 19:01:37
menongue,AO,-14.6585,17.691,19.51,71,5,1.49,2021-03-10 19:01:37
almaznyy,RU,48.0448,40.045,-5.0,68,0,4.0,2021-03-10 19:01:38
binga,ZW,-17.6203,27.3414,23.24,75,0,2.06,2021-03-10 19:01:38
east london,ZA,-33.0153,27.9116,22.0,78,0,1.03,2021-03-10 19:01:38
kruisfontein,ZA,-34.0033,24.7314,21.67,77,28,1.79,2021-03-10 19:01:39
isangel,VU,-19.55,169.2667,23.1,78,0,3.64,2021-03-10 19:01:39
floro,NO,61.5996,5.0328,3.0,75,75,11.32,2021-03-10 19:01:39
santa maria,BR,-29.6842,-53.8069,27.0,50,75,2.06,2021-03-10 19:01:40
atar,MR,20.5169,-13.0499,27.0,13,0,6.17,2021-03-10 19:01:40
asyut,EG,27.181,31.1837,26.0,29,0,2.06,2021-03-10 19:01:40
ihosy,MG,-22.4,46.1167,19.82,91,6,2.95,2021-03-10 19:01:41
militello in val di catania,IT,37.2748,14.7934,14.0,54,20,6.17,2021-03-10 19:01:41
shestakovo,RU,56.4915,103.96,-9.54,95,0,1.75,2021-03-10 19:01:41
saint pete beach,US,27.7253,-82.7412,25.0,53,1,4.63,2021-03-10 19:01:42
aasiaat,GL,68.7098,-52.8699,-10.3,92,100,3.18,2021-03-10 19:01:42
xam nua,LA,20.4197,104.0439,16.03,92,98,1.25,2021-03-10 19:01:42
charters towers,AU,-20.1,146.2667,20.38,89,0,1.57,2021-03-10 19:01:43
krasnyy yar,RU,46.5331,48.3456,-5.0,63,0,4.0,2021-03-10 19:01:43
koygorodok,RU,60.445,50.9968,-19.75,92,100,2.32,2021-03-10 19:01:44
kutum,SD,14.2,24.6667,23.73,16,0,5.24,2021-03-10 19:01:44
kiama,AU,-34.6833,150.8667,19.44,88,100,0.45,2021-03-10 19:01:44
severo-kurilsk,RU,50.6789,156.125,-0.1,98,100,8.38,2021-03-10 19:01:44
okhotsk,RU,59.3833,143.3,-19.35,92,100,1.22,2021-03-10 19:01:45
vaitape,PF,-16.5167,-151.75,27.46,69,100,5.8,2021-03-10 19:01:45
warrnambool,AU,-38.3833,142.4833,9.44,93,100,2.66,2021-03-10 19:01:46
sinnamary,GF,5.3833,-52.95,27.1,78,53,6.15,2021-03-10 19:01:46
coahuayana,MX,18.7333,-103.6833,27.0,54,1,4.12,2021-03-10 19:01:46
malanje,AO,-9.5402,16.341,19.9,83,48,1.03,2021-03-10 19:01:47
santa rosa,PH,14.3122,121.1114,26.11,69,20,2.06,2021-03-10 19:01:47
tokur,RU,53.1333,132.9,-15.48,97,95,0.4,2021-03-10 19:01:47
shabo,UA,46.1326,30.386,0.0,51,0,5.0,2021-03-10 19:01:48
inuvik,CA,68.3499,-133.7218,-11.0,73,100,1.54,2021-03-10 19:01:48
aykhal,RU,66.0,111.5,-28.19,85,0,3.68,2021-03-10 19:01:48
nuuk,GL,64.1835,-51.7216,-5.0,93,75,2.06,2021-03-10 19:01:48
ahar,IR,38.4774,47.0699,4.58,68,100,1.37,2021-03-10 19:01:49
santa rosalia,MX,27.3167,-112.2833,19.65,29,100,4.46,2021-03-10 19:01:49
ngunguru,NZ,-35.6167,174.5,17.22,95,100,0.45,2021-03-10 19:01:49
muli,MV,2.9167,73.5667,28.85,64,92,0.87,2021-03-10 19:01:50
altay,CN,47.8667,88.1167,-1.89,82,0,2.6,2021-03-10 19:01:50
torbay,CA,47.6666,-52.7314,2.22,60,20,7.2,2021-03-10 19:01:50
udon thani,TH,17.4157,102.7859,26.67,76,0,1.41,2021-03-10 19:01:51
eyl,SO,7.9803,49.8164,25.05,80,0,6.89,2021-03-10 19:01:51
kysyl-syr,RU,63.8986,122.7617,-19.82,91,95,3.31,2021-03-10 19:01:51
lebu,CL,-37.6167,-73.65,17.45,84,100,2.63,2021-03-10 19:01:52
arraial do cabo,BR,-22.9661,-42.0278,26.0,78,40,5.66,2021-03-10 19:00:06
florianopolis,BR,-27.5967,-48.5492,27.0,57,40,6.69,2021-03-10 19:01:52
tessalit,ML,20.1986,1.0114,25.3,16,98,5.21,2021-03-10 19:01:52
cassilandia,BR,-19.1133,-51.7342,28.89,60,50,1.26,2021-03-10 19:01:53
namibe,AO,-15.1961,12.1522,23.75,71,1,3.19,2021-03-10 19:01:53
