City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
makakilo city,US,21.3469,-158.0858,22.0,94,75,1.54,2021-03-10 19:01:53
boguchany,RU,58.3814,97.4531,-11.13,94,100,1.25,2021-03-10 19:01:54
falam,MM,22.9167,93.6833,13.58,57,0,1.6,2021-03-10 19:01:54
boa vista,BR,2.8197,-60.6733,33.0,35,75,6.17,2021-03-10 19:01:54
north bend,US,43.4065,-124.2243,10.56,81,1,3.3,2021-03-10 19:00:46
ladario,BR,-19.0047,-57.6017,34.0,40,0,3.6,2021-03-10 19:01:55
evensk,RU,61.95,159.2333,-28.77,87,100,1.62,2021-03-10 19:01:55
balkanabat,TM,39.5108,54.3671,8.64,54,0,1.28,2021-03-10 19:01:56
tecoanapa,MX,16.5167,-98.75,29.02,54,7,4.78,2021-03-10 19:01:56
pitea,SE,65.3172,21.4794,-10.0,67,0,7.2,2021-03-10 19:01:56
quelimane,MZ,-17.8786,36.8883,28.0,83,20,4.63,2021-03-10 19:01:57
russell,US,38.8953,-98.8598,20.0,22,1,12.86,2021-03-10 19:01:57
satoraljaujhely,HU,48.4,21.6667,-1.0,59,0,4.63,2021-03-10 19:01:57
panguna,PG,-6.3164,155.4848,19.99,91,90,0.61,2021-03-10 19:01:58
caraballeda,VE,10.6112,-66.8522,26.11,62,100,3.13,2021-03-10 19:01:58
the valley,AI,18.217,-63.0578,28.0,65,40,7.72,2021-03-10 19:01:58
esil,KZ,51.9556,66.4042,-10.71,94,100,8.86,2021-03-10 19:01:59
chifeng,CN,42.2683,118.9636,4.31,72,100,1.7,2021-03-10 19:01:59
teguise,ES,29.0605,-13.564,19.0,55,40,10.29,2021-03-10 19:01:59
turbat,PK,26.0023,63.044,19.63,77,0,2.13,2021-03-10 19:00:57
severnyy,RU,50.677,36.5532,-6.0,58,0,1.0,2021-03-10 19:02:00
awjilah,LY,29.1081,21.2869,20.0,42,100,5.43,2021-03-10 19:02:00
bethlehem,ZA,-28.2308,28.3071,16.91,36,0,2.74,2021-03-10 19:02:00
wamba,NG,8.9333,8.6,30.21,24,1,0.7,2021-03-10 19:02:01
saint-pierre,RE,-21.3393,55.4781,26.0,78,0,3.6,2021-03-10 19:02:01
karakol,KG,42.4907,78.3936,2.83,71,98,1.71,2021-03-10 19:02:02
goderich,CA,43.7501,-81.7165,13.0,47,100,4.12,2021-03-10 18:58:20
mandalgovi,MN,45.7625,106.2708,-2.94,89,0,4.99,2021-03-10 19:02:02
luanda,AO,-8.8368,13.2343,28.0,78,40,3.6,2021-03-10 18:57:38
vakhrushev,RU,48.9833,142.9667,-9.14,89,4,2.0,2021-03-10 19:02:02
jackson,US,32.2988,-90.1848,24.0,46,75,8.75,2021-03-10 18:59:47
padang,ID,-0.9492,100.3543,24.0,94,75,1.03,2021-03-10 19:02:03
ukiah,US,39.1502,-123.2078,7.0,76,90,6.69,2021-03-10 19:02:03
mascote,BR,-15.5631,-39.3025,30.0,66,0,6.17,2021-03-10 19:02:04
buin,CL,-33.7333,-70.75,28.33,36,0,7.2,2021-03-10 19:02:04
jiazi,CN,22.8779,116.067,17.53,82,100,7.94,2021-03-10 19:02:04
yulara,AU,-25.2406,130.9889,24.0,83,75,1.54,2021-03-10 19:02:04
porto novo,CV,17.0197,-25.0647,22.0,64,75,11.32,2021-03-10 19:02:05
bubaque,GW,11.2833,-15.8333,25.96,67,0,7.73,2021-03-10 19:02:05
arawa,PG,-6.2132,155.5367,24.81,74,90,1.16,2021-03-10 19:02:05
oktyabrskiy,RU,54.4815,53.471,-19.95,90,82,4.41,2021-03-10 19:02:06
tazmalt,DZ,36.3868,4.3989,9.37,72,1,2.02,2021-03-10 19:02:06
venice,US,27.0998,-82.4543,25.0,41,75,6.69,2021-03-10 19:02:06
salinas,US,36.6777,-121.6555,13.0,71,90,2.06,2021-03-10 19:01:48
vostok,RU,46.4856,135.8833,-12.7,94,69,2.39,2021-03-10 19:02:07
bambanglipuro,ID,-7.95,110.2833,25.55,81,100,0.84,2021-03-10 19:02:07
ratnagiri,IN,16.9833,73.3,24.85,69,0,1.66,2021-03-10 19:02:07
praia da vitoria,PT,38.7333,-27.0667,20.0,73,20,4.83,2021-03-10 19:02:08
alekseyevka,RU,50.6309,38.6903,-7.91,91,94,3.85,2021-03-10 19:02:08
manicore,BR,-5.8092,-61.3003,23.04,97,100,0.82,2021-03-10 19:02:08
charlestown,AU,-32.95,151.6667,23.33,84,22,3.59,2021-03-10 19:02:09
beaverlodge,CA,55.2166,-119.4361,-13.0,66,1,2.06,2021-03-10 19:02:09
northam,GB,51.0333,-4.2167,11.67,95,100,13.29,2021-03-10 19:02:09
pacific grove,US,36.6177,-121.9166,10.56,89,100,6.04,2021-03-10 19:02:09
nelson bay,AU,-32.7167,152.15,21.11,88,90,2.57,2021-03-10 19:02:10
kasongo-lunda,CD,-6.4667,16.8167,24.82,75,77,0.83,2021-03-10 19:02:10
ankazoabo,MG,-22.2833,44.5167,21.67,82,0,2.07,2021-03-10 19:02:11
grand-lahou,CI,5.1367,-5.0242,27.32,83,100,5.81,2021-03-10 19:02:11
hasaki,JP,35.7333,140.8333,2.0,64,20,1.03,2021-03-10 19:02:11
mandurah,AU,-32.55,115.7,22.78,88,100,3.66,2021-03-10 19:02:11
lasa,IT,46.6166,10.7002,10.0,34,0,1.54,2021-03-10 19:02:12
san patricio,MX,19.2167,-104.7,26.0,69,40,6.17,2021-03-10 19:02:12
navahrudak,BY,53.6,25.8333,-8.27,94,0,2.55,2021-03-10 19:02:12
mumbwa,ZM,-14.9783,27.0619,18.87,95,100,1.21,2021-03-10 19:00:31
atbasar,KZ,51.8,68.3333,-10.49,95,99,8.6,2021-03-10 19:02:13
zalantun,CN,48.0,122.7167,-5.06,91,0,2.37,2021-03-10 19:02:13
rawson,AR,-43.3002,-65.1023,28.05,22,100,16.53,2021-03-10 19:00:59
beringovskiy,RU,63.05,179.3167,-26.19,81,15,1.01,2021-03-10 19:02:13
gobabis,NA,-22.45,18.9667,24.38,35,0,5.11,2021-03-10 19:02:14
wahpeton,US,46.2652,-96.6059,1.0,93,90,6.69,2021-03-10 19:02:14
lazaro cardenas,MX,17.9583,-102.2,27.67,53,0,3.62,2021-03-10 18:58:54
flin flon,CA,54.7682,-101.865,-4.0,93,90,3.09,2021-03-10 19:02:14
aztec,US,36.8222,-107.9929,10.0,21,1,6.17,2021-03-10 19:02:15
alyangula,AU,-13.8483,136.4192,25.0,100,97,2.06,2021-03-10 19:02:15
cheremukhovo,RU,60.3484,59.9851,-24.06,90,100,1.15,2021-03-10 19:02:15
carlsbad,US,33.1581,-117.3506,15.56,63,40,6.69,2021-03-10 19:01:22
katsuura,JP,35.1333,140.3,7.0,49,0,2.57,2021-03-10 19:02:16
huarmey,PE,-10.0681,-78.1522,25.67,64,100,3.34,2021-03-10 19:02:16
dragor,DK,55.5946,12.6664,2.78,69,40,9.26,2021-03-10 19:02:17
homer,US,59.6425,-151.5483,1.11,100,90,1.54,2021-03-10 19:02:17
moron,AR,-34.6534,-58.6198,30.0,54,40,5.14,2021-03-10 19:02:17
krasnogorskoye,RU,52.2953,86.1979,-1.57,93,100,3.02,2021-03-10 19:02:18
ola,RU,59.5833,151.2833,-21.1,87,64,1.95,2021-03-10 19:02:18
carnarvon,AU,-24.8667,113.6333,25.0,83,40,4.12,2021-03-10 19:02:18
mar del plata,AR,-38.0023,-57.5575,26.0,69,0,6.17,2021-03-10 19:02:19
sabang,ID,5.8933,95.3214,27.94,68,0,5.12,2021-03-10 19:02:19
zhangye,CN,38.9342,100.4517,8.02,45,0,3.04,2021-03-10 19:02:19
vilyuysk,RU,63.7553,121.6247,-20.29,91,68,3.57,2021-03-10 19:02:19
bianzhuang,CN,34.8486,118.0447,7.48,62,100,2.23,2021-03-10 19:02:20
bengkulu,ID,-3.8004,102.2655,24.15,89,62,1.96,2021-03-10 19:02:20
malakal,SS,9.5334,31.6605,31.96,22,0,0.26,2021-03-10 19:02:20
bykovo,RU,55.6361,38.0803,-16.0,55,0,2.0,2021-03-10 19:02:21
sterling,US,39.0062,-77.4286,21.67,23,20,4.12,2021-03-10 19:01:33
wad rawah,SD,15.1603,33.1397,31.46,12,0,4.51,2021-03-10 19:02:22
shush,IR,32.1942,48.2436,19.03,35,61,3.28,2021-03-10 19:02:22
batagay-alyta,RU,67.8006,130.4114,-20.41,78,100,3.61,2021-03-10 19:02:22
musoma,TZ,-1.5,33.8,23.0,78,20,2.2,2021-03-10 19:02:23
kendari,ID,-3.945,122.4989,23.39,90,100,1.58,2021-03-10 19:02:23
waitara,NZ,-38.925,174.25,13.33,91,100,5.36,2021-03-10 19:02:23
kumla,SE,59.1277,15.1434,-1.0,69,75,5.14,2021-03-10 19:02:23
tierralta,CO,8.1736,-76.0592,31.01,61,90,3.31,2021-03-10 19:02:24
kerema,PG,-7.9631,145.7785,24.63,85,49,1.51,2021-03-10 19:02:24
neryungri,RU,56.6709,124.6491,-16.97,87,100,1.79,2021-03-10 19:02:24
shashi,CN,30.3072,112.2447,8.33,96,95,1.04,2021-03-10 19:02:25
inta,RU,66.0317,60.1659,-26.71,88,93,2.57,2021-03-10 19:02:25
manado,ID,1.487,124.8455,25.0,94,20,0.51,2021-03-10 19:02:25
svobodnyy,RU,51.4,128.1333,-10.96,93,0,4.39,2021-03-10 19:02:26
merauke,ID,-8.4667,140.3333,24.47,87,9,1.81,2021-03-10 19:02:26
vera cruz,BR,-12.6333,-41.0333,31.25,39,100,3.07,2021-03-10 19:02:27
tautira,PF,-17.7333,-149.15,29.0,65,40,3.09,2021-03-10 19:02:14
ust-maya,RU,60.4167,134.5333,-16.2,93,100,2.02,2021-03-10 19:02:27
rapid city,US,44.0805,-103.231,0.0,86,90,6.17,2021-03-10 19:01:12
sauce,UY,-34.6469,-56.0628,28.89,53,20,6.17,2021-03-10 19:02:27
sungai udang,MY,2.269,102.1427,25.0,83,20,2.06,2021-03-10 19:02:28
grootfontein,NA,-19.5667,18.1167,21.0,68,71,1.54,2021-03-10 19:02:28
zaterechnyy,RU,44.7931,45.2097,-0.67,82,100,3.89,2021-03-10 19:02:28
komsomolskiy,UZ,40.4272,71.7189,8.0,81,40,1.03,2021-03-10 19:02:29
mount isa,AU,-20.7333,139.5,24.0,94,100,2.06,2021-03-10 19:00:51
imeni poliny osipenko,RU,52.4201,136.4853,-8.65,96,100,1.97,2021-03-10 19:02:29
atherton,GB,53.5237,-2.4935,12.78,67,100,4.92,2021-03-10 19:01:14
narsingi,IN,18.0333,78.4333,26.11,40,0,0.89,2021-03-10 19:02:29
kloulklubed,PW,7.0419,134.2556,24.0,100,75,2.06,2021-03-10 19:02:30
oksfjord,NO,70.2396,22.3479,-5.0,58,0,7.2,2021-03-10 19:02:30
bassar,TG,9.25,0.7833,34.0,61,75,3.09,2021-03-10 19:02:30
roald,NO,62.5833,6.1333,5.0,48,75,8.23,2021-03-10 19:02:31
riyadh,SA,24.6877,46.7219,24.0,35,0,3.6,2021-03-10 18:59:31
tual,ID,-5.6667,132.75,27.01,76,100,3.79,2021-03-10 19:02:31
diego de almagro,CL,-26.3667,-70.05,25.97,37,81,6.15,2021-03-10 19:02:31
bartica,GY,6.4,-58.6167,31.0,58,75,5.14,2021-03-10 19:02:32
karpathos,GR,35.507,27.2132,17.0,82,40,4.63,2021-03-10 19:02:32
san cristobal,VE,7.7669,-72.225,24.0,94,40,6.17,2021-03-10 19:02:32
buta,CD,2.7858,24.73,28.78,43,98,0.78,2021-03-10 19:02:33
dandong,CN,40.1292,124.3947,2.56,82,94,1.39,2021-03-10 19:02:33
tooele,US,40.5308,-112.2983,6.0,39,90,1.54,2021-03-10 19:02:33
talaya,RU,61.3833,152.75,-23.05,74,0,2.66,2021-03-10 19:02:34
beatrice,US,40.2681,-96.747,23.0,21,1,14.92,2021-03-10 19:02:34
surt,LY,31.2089,16.5887,16.77,76,100,4.76,2021-03-10 19:02:34
bambous virieux,MU,-20.3428,57.7575,27.0,78,40,3.09,2021-03-10 19:02:35
sept-iles,CA,50.2001,-66.3821,1.67,75,90,3.6,2021-03-10 19:02:35
mogadishu,SO,2.0371,45.3438,25.98,85,0,9.68,2021-03-10 19:02:35
nevelsk,RU,46.6733,141.8633,-13.0,85,11,4.24,2021-03-10 19:02:35
kabare,CD,-2.4683,28.8242,16.24,82,81,1.12,2021-03-10 19:02:36
hamilton,CA,43.2334,-79.9496,18.0,33,75,8.75,2021-03-10 19:01:00
sisimiut,GL,66.9395,-53.6735,-6.47,95,100,2.54,2021-03-10 19:02:36
kaliganj,BD,23.4095,89.1402,21.2,95,0,3.22,2021-03-10 19:02:37
soure,BR,-0.7167,-48.5233,25.62,84,100,4.17,2021-03-10 19:02:37
orlik,RU,52.5178,99.825,-14.74,74,0,1.24,2021-03-10 19:02:37
vytegra,RU,61.0064,36.4481,-16.28,94,100,1.39,2021-03-10 19:02:38
iranshahr,IR,27.2025,60.6848,26.0,24,0,3.09,2021-03-10 19:02:38
sotik,KE,-0.6833,35.1187,14.77,53,96,0.78,2021-03-10 19:02:38
concordia,AR,-31.393,-58.0209,29.0,42,75,2.57,2021-03-10 19:00:03
goedereede,NL,51.8175,3.9806,6.67,87,100,2.68,2021-03-10 19:02:39
havre-saint-pierre,CA,50.2334,-63.5986,1.0,75,1,2.57,2021-03-10 19:02:39
moranbah,AU,-22.0016,148.0466,21.46,83,11,3.21,2021-03-10 19:02:40
sindor,RU,62.8629,51.8905,-15.44,95,100,2.04,2021-03-10 19:02:40
marsa matruh,EG,31.3525,27.2453,17.0,77,75,8.23,2021-03-10 19:02:40
saint-augustin,CA,51.226,-58.6502,-0.13,98,100,6.04,2021-03-10 19:02:41
usinsk,RU,65.9939,57.5281,-21.88,91,100,3.42,2021-03-10 19:02:41
broome,AU,-17.9667,122.2333,26.0,83,75,4.63,2021-03-10 19:02:41
ati,TD,13.2154,18.3353,31.37,11,0,3.63,2021-03-10 19:02:15
yaguajay,CU,22.3272,-79.2378,24.71,59,0,9.37,2021-03-10 19:02:42
corvallis,US,44.5646,-123.262,6.67,100,90,2.68,2021-03-10 19:00:00
mishan,CN,45.55,131.8833,-5.18,92,28,2.02,2021-03-10 19:02:42
pastos bons,BR,-6.6017,-44.0767,28.99,69,28,1.37,2021-03-10 19:02:43
shache,CN,38.4167,77.2406,9.53,46,6,3.35,2021-03-10 19:02:43
ahuimanu,US,21.4447,-157.8378,21.67,94,75,2.45,2021-03-10 19:02:43
jumla,NP,29.2747,82.1838,4.51,68,14,1.55,2021-03-10 19:01:21
cascas,PE,-7.4833,-78.8167,18.0,59,75,1.54,2021-03-10 19:02:44
oranjemund,NA,-28.55,16.4333,19.61,84,0,0.83,2021-03-10 19:02:44
iracoubo,GF,5.4802,-53.2011,26.86,79,46,5.93,2021-03-10 19:02:45
lompoc,US,34.6391,-120.4579,9.0,87,90,1.54,2021-03-10 19:02:45
varhaug,NO,58.6147,5.6457,3.0,87,75,9.77,2021-03-10 19:02:45
opuwo,NA,-18.0607,13.84,25.55,35,31,2.65,2021-03-10 19:02:46
tire,TR,38.0888,27.7351,10.56,76,0,1.03,2021-03-10 19:02:46
key west,US,24.5557,-81.7826,26.0,47,40,7.72,2021-03-10 19:02:46
nome,US,64.5011,-165.4064,-28.0,69,1,3.6,2021-03-10 19:02:47
portland,US,45.5234,-122.6762,10.0,81,90,0.99,2021-03-10 19:01:09
grand gaube,MU,-20.0064,57.6608,26.11,77,1,1.34,2021-03-10 19:02:47
vagur,FO,61.4732,-6.8119,5.27,86,100,10.83,2021-03-10 19:02:47
yerbogachen,RU,61.2767,108.0108,-17.4,93,48,2.06,2021-03-10 19:02:48
vila,PT,42.0304,-8.1588,10.0,91,100,2.68,2021-03-10 19:02:48
kyaikkami,MM,16.08,97.5675,26.44,67,5,1.31,2021-03-10 19:02:48
lengshuijiang,CN,27.6881,111.4294,9.86,91,100,0.22,2021-03-10 19:00:05
beirut,LB,33.8889,35.4944,17.78,26,100,5.29,2021-03-10 19:02:17
vila velha,BR,-20.3297,-40.2925,32.0,58,20,5.66,2021-03-10 19:02:49
cairns,AU,-16.9167,145.7667,23.0,83,90,1.03,2021-03-10 19:00:45
launceston,AU,-41.45,147.1667,13.33,88,75,2.06,2021-03-10 19:02:49
ostrovnoy,RU,68.0531,39.5131,-15.42,90,0,5.39,2021-03-10 19:02:49
lavrentiya,RU,65.5833,-171.0,-31.24,75,0,1.56,2021-03-10 19:02:50
kashan,IR,33.9831,51.4364,15.13,34,75,1.43,2021-03-10 19:02:50
chapais,CA,49.7834,-74.8492,4.0,56,90,8.75,2021-03-10 19:02:44
alexandria,EG,31.2156,29.9553,19.0,68,0,5.66,2021-03-10 19:02:46
palencia,ES,42.0167,-4.5333,13.33,52,100,0.89,2021-03-10 19:02:51
winnemucca,US,40.973,-117.7357,4.0,33,90,2.57,2021-03-10 19:02:51
idah,NG,7.1065,6.7342,30.68,57,99,3.43,2021-03-10 19:02:51
buchanan,LR,5.8808,-10.0467,28.0,83,40,2.57,2021-03-10 19:02:52
kulhudhuffushi,MV,6.6221,73.07,28.65,72,100,4.02,2021-03-10 19:02:52
abu dhabi,AE,24.4667,54.3667,24.0,60,0,2.06,2021-03-10 19:00:24
sooke,CA,48.3746,-123.7276,8.33,67,84,5.14,2021-03-10 19:02:27
miyako,JP,39.6367,141.9525,0.19,88,0,2.35,2021-03-10 19:02:52
duncan,US,34.5023,-97.9578,26.11,53,1,9.26,2021-03-10 19:02:53
salto,UY,-31.3833,-57.9667,29.0,42,75,2.57,2021-03-10 18:58:07
cockburn town,TC,21.4612,-71.1419,22.66,88,100,13.78,2021-03-10 18:59:58
khuzdar,PK,27.7384,66.6434,17.23,29,0,1.96,2021-03-10 19:02:53
san ramon,US,37.7799,-121.978,11.11,66,40,3.6,2021-03-10 19:02:54
katherine,AU,-14.4667,132.2667,24.0,100,49,1.54,2021-03-10 19:02:54
springfield,US,37.2153,-93.2982,19.44,59,90,10.29,2021-03-10 19:02:22
bantry,IE,51.6833,-9.45,11.0,66,75,15.95,2021-03-10 19:02:54
brae,GB,60.3964,-1.353,5.0,81,90,10.8,2021-03-10 19:02:55
mogok,MM,22.9167,96.5,18.06,33,16,0.35,2021-03-10 19:02:55
taltal,CL,-25.4,-70.4833,22.05,62,1,1.94,2021-03-10 19:02:55
eureka,US,40.8021,-124.1637,11.11,69,81,1.79,2021-03-10 19:02:55
astana,KZ,51.1801,71.446,-7.0,93,90,12.0,2021-03-10 18:58:20
monte alegre,BR,-2.0078,-54.0692,27.87,69,91,4.16,2021-03-10 19:02:56
bilma,NE,18.6853,12.9164,27.58,13,0,2.63,2021-03-10 19:02:56
san rafael,AR,-34.6177,-68.3301,34.24,24,44,6.19,2021-03-10 19:00:43
bambari,CF,5.768,20.6757,27.88,46,0,1.7,2021-03-10 19:02:57
purpe,RU,64.4803,76.6897,-34.95,85,0,1.57,2021-03-10 19:02:57
puerto del rosario,ES,28.5004,-13.8627,18.0,63,40,9.77,2021-03-10 19:02:57
charkhi dadri,IN,28.6,76.2667,20.91,24,0,0.98,2021-03-10 19:02:58
jacareacanga,BR,-6.2222,-57.7528,28.0,78,75,4.63,2021-03-10 19:02:58
mizdah,LY,31.4451,12.9801,14.56,66,100,8.03,2021-03-10 19:02:58
kindu,CD,-2.95,25.95,22.33,92,100,1.76,2021-03-10 18:59:24
kuroiso,JP,36.9667,140.05,0.56,71,0,0.45,2021-03-10 19:02:59
rocky mountain house,CA,52.3668,-114.9188,-6.0,58,99,3.6,2021-03-10 19:02:59
riohacha,CO,11.5444,-72.9072,29.95,48,26,8.0,2021-03-10 19:02:59
pacifica,US,37.6138,-122.4869,10.56,76,40,2.57,2021-03-10 19:02:01
ust-ilimsk,RU,58.0006,102.6619,-11.61,94,98,2.12,2021-03-10 19:03:00
muswellbrook,AU,-32.2667,150.9,18.89,76,38,0.45,2021-03-10 19:03:00
nyurba,RU,63.2842,118.3319,-21.43,89,0,3.51,2021-03-10 19:03:01
shimoda,JP,34.6667,138.95,3.89,64,79,0.45,2021-03-10 19:03:01
korcula,HR,42.9622,17.1369,8.0,34,20,10.29,2021-03-10 19:01:15
winslow,US,35.0242,-110.6974,13.0,14,20,7.2,2021-03-10 19:02:25
mount vernon,US,40.9126,-73.8371,13.89,47,20,6.69,2021-03-10 19:03:01
svetlaya,RU,46.5389,138.3297,-3.94,89,98,2.29,2021-03-10 19:03:02
tarquinia,IT,42.2482,11.7553,6.0,45,20,2.57,2021-03-10 19:03:03
dhemaji,IN,27.4833,94.5833,19.74,63,35,2.29,2021-03-10 19:03:03
ridgecrest,US,35.6225,-117.6709,12.0,35,75,9.77,2021-03-10 19:00:04
beloha,MG,-25.1667,45.05,24.31,70,15,2.48,2021-03-10 19:03:03
chunian,PK,30.964,73.9803,18.6,27,0,1.31,2021-03-10 19:03:04
umm kaddadah,SD,13.6017,26.6876,28.65,13,3,6.28,2021-03-10 19:03:04
progreso,MX,21.2833,-89.6667,31.11,42,40,3.6,2021-03-10 19:03:04
amurzet,RU,47.6967,131.0981,-6.45,93,0,2.54,2021-03-10 19:03:05
conceicao do araguaia,BR,-8.2578,-49.2647,28.85,74,100,1.63,2021-03-10 19:03:05
kande,TG,9.9578,1.0447,34.0,31,20,2.06,2021-03-10 19:03:05
xingcheng,CN,40.6167,120.7167,5.35,75,100,4.74,2021-03-10 19:03:06
nguru,NG,12.8791,10.4526,29.45,12,0,2.9,2021-03-10 19:03:06
koulamoutou,GA,-1.1303,12.4736,26.88,72,82,1.13,2021-03-10 19:03:06
khandyga,RU,62.6667,135.6,-15.13,94,100,2.84,2021-03-10 19:03:07
itoman,JP,26.1247,127.6694,18.0,72,40,2.57,2021-03-10 19:03:07
ordynskoye,RU,54.3656,81.8994,2.28,94,100,8.6,2021-03-10 19:03:07
san nicolas,PH,18.1725,120.5953,22.0,83,20,1.03,2021-03-10 19:03:08
portoferraio,IT,42.8115,10.3146,11.67,65,0,0.89,2021-03-10 19:03:08
luis correia,BR,-2.8792,-41.6669,30.0,74,40,6.17,2021-03-10 19:03:09
daura,NG,11.5538,11.4085,28.63,13,0,2.53,2021-03-10 19:03:09
lakatoro,VU,-16.0999,167.4164,25.47,78,65,4.83,2021-03-10 19:03:09
les cayes,HT,18.2,-73.75,27.69,65,45,3.18,2021-03-10 19:03:10
inhambane,MZ,-23.865,35.3833,25.56,83,0,5.14,2021-03-10 19:03:10
dadu,PK,26.7329,67.7763,23.51,20,0,3.89,2021-03-10 19:03:10
zlitan,LY,32.4674,14.5687,15.78,80,100,5.98,2021-03-10 19:03:10
thunder bay,CA,48.4001,-89.3168,7.0,61,90,5.14,2021-03-10 19:03:11
dubbo,AU,-32.25,148.6167,18.0,88,30,4.63,2021-03-10 19:03:11
samarai,PG,-10.6167,150.6667,27.72,76,16,2.77,2021-03-10 19:03:11
pahrump,US,36.2083,-115.9839,11.67,48,100,7.6,2021-03-10 19:03:12
galveston,US,29.3014,-94.7977,22.0,73,40,6.69,2021-03-10 19:03:12
